transaction_id,target_company,acquirer,sector,sub_sector,deal_year,deal_quarter,deal_type,geography,financing_type,deal_size_mm,target_revenue_mm,target_ebitda_mm,ebitda_margin_pct,revenue_growth_pct,ev_ebitda_multiple,ev_revenue_multiple,synergy_pct_of_deal,outcome,strategic_rationale_tags,num_bidders,days_to_close,acquirer_type,target_ownership_pre
MA-2018-0011,Keystone Oral Health,Dental365,Dental,Dental,2018,Q1,Leveraged Buyout,National,All Cash,21.8,8.6,1.3,21.7,16.5,14.0,2.54,10.0,Closed,High Growth|Margin Improvement|Cost Synergies,2,253.0,Strategic,Public
MA-2022-0012,Empire Personal Care,Amedisys,Home Health/Hospice,Home Health/Hospice,2022,Q3,Recapitalization,National,Earnout,30.9,17.4,2.7,15.7,7.5,9.0,1.78,3.2,Closed,Vertical Integration,5,76.0,Strategic,PE-Backed
MA-2020-0013,Granite Dental Group,GTCR,Dental,Dental,2020,Q2,Bolt-on Acquisition,Multi-Regional,All Cash,70.4,25.5,3.2,20.9,5.8,18.3,2.76,7.4,Closed,Geographic Expansion|Platform Build|Margin Improvement|Cost Synergies,1,362.0,Financial Sponsor,Private
MA-2019-0014,Western Integrated Behavioral,KKR,Behavioral Health,Behavioral Health,2019,Q3,Leveraged Buyout,Mid-Atlantic,Mixed,387.3,141.9,14.8,13.6,18.3,9.8,2.73,2.1,Pending,Geographic Expansion|High Growth|Cross-sell,1,,Financial Sponsor,PE-Backed
MA-2017-0015,Pro Diagnostics,Zimmer Biomet,Medical Devices,Medical Devices,2017,Q3,SPAC Merger,National,All Cash,3553.7,617.0,146.2,21.0,19.0,24.9,5.76,6.4,Closed,Scale|High Growth|Margin Improvement|Cost Synergies,2,104.0,Strategic,Private
MA-2018-0016,Charter Claims Management,AdvancedMD,Revenue Cycle,Revenue Cycle,2018,Q4,Merger of Equals,Northeast,All Cash,171.8,50.4,11.2,19.3,7.7,19.5,3.41,19.6,Closed,Geographic Expansion|Cost Synergies,2,127.0,Strategic,PE-Backed
MA-2020-0017,Select Personal Care,Welsh Carson,Home Health/Hospice,Home Health/Hospice,2020,Q3,SPAC Merger,National,Cash + Stock,15.6,5.6,0.8,15.3,8.5,9.7,2.77,2.3,Closed,Cross-sell,3,152.0,Financial Sponsor,PE-Backed
MA-2017-0018,Woodland MedTech,Integra LifeSciences,Medical Devices,Medical Devices,2017,Q2,Platform Investment,Midwest,Leveraged,1623.4,337.5,88.4,29.3,10.0,25.0,4.81,7.9,Closed,Scale|Geographic Expansion|Platform Build|Margin Improvement|Cost Synergies,2,126.0,Strategic,Non-Profit
MA-2018-0019,Lincoln Care Management Tech,Cerner (Oracle),Health IT,Health IT,2018,Q2,Carve-out,Northeast,Earnout,455.9,68.8,15.5,27.7,26.0,19.0,6.63,8.3,Closed,Technology Capability|Geographic Expansion|High Growth|Margin Improvement|Carve-out Complexity|Market Share,3,373.0,Strategic,PE-Backed
MA-2024-0020,Zenith Integrated Behavioral,KKR,Behavioral Health,Behavioral Health,2024,Q3,Strategic Acquisition,Southeast,Seller Financing,394.2,121.7,11.9,14.1,13.7,9.0,3.24,18.2,Closed,Geographic Expansion|Vertical Integration,1,242.0,Financial Sponsor,PE-Backed
MA-2023-0021,Global Medical Devices,Welsh Carson,Medical Devices,Medical Devices,2023,Q2,Minority Investment,Mountain West,All Cash,279.2,49.8,13.4,26.6,14.3,19.7,5.61,9.4,Pending,Geographic Expansion|Margin Improvement|Cross-sell,2,,Financial Sponsor,PE-Backed
MA-2023-0022,Woodland Indemnity,KKR,Health Insurance,Health Insurance,2023,Q2,SPAC Merger,Multi-Regional,Stock,583.2,1060.4,55.1,3.1,6.6,15.7,0.55,8.7,Closed,Scale|Geographic Expansion|Vertical Integration,3,283.0,Financial Sponsor,Public
MA-2016-0023,Zenith Palliative Care,Veritas Capital,Home Health/Hospice,Home Health/Hospice,2016,Q3,Bolt-on Acquisition,Southwest,Earnout,119.3,46.1,3.5,6.5,5.2,17.1,2.59,13.1,Closed,Geographic Expansion|Platform Build|Diversification,1,278.0,Financial Sponsor,Public
MA-2022-0024,Delta Multispecialty Group,Welsh Carson,Physician Groups,Physician Groups,2022,Q1,Recapitalization,Southwest,Cash + Stock,38.0,18.3,2.9,12.6,11.0,8.3,2.08,7.6,Withdrawn,Geographic Expansion|Cross-sell,4,,Financial Sponsor,Private
MA-2021-0025,Woodland PACE,Welsh Carson,Home Health/Hospice,Home Health/Hospice,2021,Q4,Management Buyout,Great Plains,Cash + Stock,203.8,73.3,8.9,8.5,6.9,17.6,2.78,5.8,Closed,Geographic Expansion|Market Share,5,293.0,Financial Sponsor,PE-Backed
MA-2016-0026,Great Cardiovascular Systems,Boston Scientific,Medical Devices,Medical Devices,2016,Q2,Carve-out,Mountain West,Earnout,1154.8,247.3,71.5,23.3,11.2,19.1,4.67,7.1,Closed,Scale|Geographic Expansion|Margin Improvement|Carve-out Complexity|Diversification,3,76.0,Strategic,Private
MA-2019-0027,Madison Behavioral Health,Advent International,Behavioral Health,Behavioral Health,2019,Q4,Management Buyout,National,Mixed,95.1,29.8,3.3,12.4,12.3,12.3,3.19,3.8,Closed,Cross-sell,3,217.0,Financial Sponsor,PE-Backed
MA-2021-0028,Coastal Substance Use,LifeStance Health,Behavioral Health,Behavioral Health,2021,Q1,Recapitalization,Midwest,Mixed,463.7,149.1,20.7,10.1,14.7,12.8,3.11,2.4,Closed,Geographic Expansion|Market Share,3,239.0,Strategic,Private
MA-2021-0029,Global Mental Health,New Mountain Capital,Behavioral Health,Behavioral Health,2021,Q1,Strategic Acquisition,Southwest,Cash + Stock,10.8,3.3,0.4,12.7,12.6,12.9,3.3,16.7,Withdrawn,Geographic Expansion|Cross-sell,2,,Financial Sponsor,Public
MA-2024-0030,Liberty Managed Care,General Atlantic,Health Insurance,Health Insurance,2024,Q1,SPAC Merger,Northeast,Stock,1431.0,2700.0,248.4,10.4,7.6,19.7,0.53,9.3,Closed,Scale|Geographic Expansion|Cost Synergies,1,348.0,Financial Sponsor,PE-Backed
MA-2015-0031,Keystone Diagnostics,Hellman & Friedman,Medical Devices,Medical Devices,2015,Q4,Minority Investment,Southeast,Seller Financing,994.1,177.8,45.7,24.9,11.3,24.2,5.59,2.1,Closed,Scale|Geographic Expansion|Margin Improvement|Diversification,3,370.0,Financial Sponsor,Non-Profit
MA-2020-0032,Charter Personal Care,Elara Caring,Home Health/Hospice,Home Health/Hospice,2020,Q4,Leveraged Buyout,Mountain West,Mixed,373.7,242.7,34.2,14.3,15.8,17.7,1.54,4.1,Closed,Geographic Expansion|High Growth|Cross-sell,2,275.0,Strategic,Private
MA-2018-0033,Southeast Home Health Partners,Nordic Capital,Home Health/Hospice,Home Health/Hospice,2018,Q3,Minority Investment,West Coast,Seller Financing,78.9,29.2,2.3,15.5,3.2,9.3,2.7,4.2,Closed,Geographic Expansion|Cross-sell,2,413.0,Financial Sponsor,Public
MA-2018-0034,Silver Palliative Care,Hellman & Friedman,Home Health/Hospice,Home Health/Hospice,2018,Q4,Carve-out,West Coast,Earnout,120.8,63.6,3.9,10.3,11.0,15.4,1.9,9.7,Closed,Geographic Expansion|Carve-out Complexity|Vertical Integration,3,225.0,Financial Sponsor,PE-Backed
MA-2024-0035,Grand Home Services,VNS Health,Home Health/Hospice,Home Health/Hospice,2024,Q2,Carve-out,Southwest,Earnout,41.2,25.3,3.4,11.2,17.6,15.5,1.63,12.2,Closed,Geographic Expansion|High Growth|Carve-out Complexity|Market Share,1,144.0,Strategic,Private
MA-2020-0036,Lake Medical Technologies,Align Technology,Medical Devices,Medical Devices,2020,Q2,Leveraged Buyout,Southeast,Mixed,32.3,7.1,2.1,23.4,12.2,19.8,4.55,4.3,Closed,Geographic Expansion|Margin Improvement|Cross-sell,2,289.0,Strategic,Private
MA-2023-0037,Metro Care Analytics,Veeva Systems,Health IT,Health IT,2023,Q1,Carve-out,Southeast,Seller Financing,148.8,28.1,7.3,20.3,24.9,23.2,5.3,11.1,Closed,Technology Capability|Geographic Expansion|High Growth|Margin Improvement|Carve-out Complexity|Vertical Integration,3,275.0,Strategic,Public
MA-2022-0038,Star Indemnity,Alignment Healthcare,Health Insurance,Health Insurance,2022,Q2,Merger of Equals,Southeast,Cash + Stock,1208.2,544.2,10.9,5.1,4.3,13.5,2.22,15.7,Closed,Scale|Geographic Expansion|Vertical Integration,4,194.0,Strategic,Private
MA-2022-0039,Green Diagnostics,Welsh Carson,Medical Devices,Medical Devices,2022,Q2,Recapitalization,Southeast,Seller Financing,2438.0,545.4,123.3,21.4,9.0,17.6,4.47,3.2,Closed,Scale|Geographic Expansion|Margin Improvement|Cross-sell,2,202.0,Financial Sponsor,PE-Backed
MA-2020-0040,Green Care Providers,Blackstone,Physician Groups,Physician Groups,2020,Q4,Bolt-on Acquisition,Multi-Regional,All Cash,54.0,35.8,3.5,7.3,13.1,9.7,1.51,12.3,Withdrawn,Geographic Expansion|Platform Build|Cost Synergies,1,,Financial Sponsor,Non-Profit
MA-2017-0041,Southwest Health Plan,Advent International,Health Insurance,Health Insurance,2017,Q4,Leveraged Buyout,Southeast,Leveraged,2749.5,1718.4,175.3,9.6,12.1,17.2,1.6,4.7,Closed,Scale|Geographic Expansion|Market Share,3,400.0,Financial Sponsor,Public
MA-2024-0042,Western Indemnity,Advent International,Health Insurance,Health Insurance,2024,Q4,Management Buyout,Northeast,Earnout,1114.0,1197.8,50.3,6.2,2.8,17.1,0.93,5.7,Withdrawn,Scale|Geographic Expansion|Vertical Integration,4,,Financial Sponsor,PE-Backed
MA-2017-0043,Sterling Palliative Care,VNS Health,Home Health/Hospice,Home Health/Hospice,2017,Q2,Platform Investment,West Coast,Seller Financing,166.5,88.6,11.5,14.4,6.4,17.3,1.88,5.3,Closed,Geographic Expansion|Platform Build|Cross-sell,4,105.0,Strategic,PE-Backed
MA-2018-0044,Principal Oncology,Biogen,Pharma/Biotech,Pharma/Biotech,2018,Q2,Recapitalization,Southwest,Seller Financing,911.0,111.5,37.7,26.8,20.0,23.5,8.17,9.0,Closed,Scale|Geographic Expansion|High Growth|Margin Improvement|Diversification,3,304.0,Strategic,Private
MA-2022-0045,Green Medical Center,Nordic Capital,Healthcare Services,Healthcare Services,2022,Q4,Leveraged Buyout,Mid-Atlantic,Mixed,1304.4,528.1,70.2,12.3,11.6,15.0,2.47,7.6,Closed,Scale|Geographic Expansion|Diversification,1,207.0,Financial Sponsor,PE-Backed
MA-2017-0046,Lincoln Personal Care,Nordic Capital,Home Health/Hospice,Home Health/Hospice,2017,Q3,Bolt-on Acquisition,Great Plains,All Cash,483.2,371.7,58.0,10.1,13.8,14.9,1.3,9.6,Closed,Geographic Expansion|Platform Build|Cost Synergies,1,285.0,Financial Sponsor,Non-Profit
MA-2020-0047,Integrity Medicaid MCO,Hellman & Friedman,Health Insurance,Health Insurance,2020,Q3,Leveraged Buyout,National,All Cash,570.8,594.6,45.8,3.9,12.3,13.7,0.96,3.9,Closed,Scale|Cost Synergies,1,267.0,Financial Sponsor,Private
MA-2019-0048,Pacific Health Informatics,Ciox Health,Health IT,Health IT,2019,Q2,Carve-out,National,Leveraged,544.9,82.7,17.3,18.8,15.5,19.4,6.59,12.9,Closed,Technology Capability|Scale|High Growth|Carve-out Complexity|Diversification,2,299.0,Strategic,PE-Backed
MA-2023-0049,First Clinical Research,New Mountain Capital,Pharma/Biotech,Pharma/Biotech,2023,Q2,Bolt-on Acquisition,Great Plains,Stock,212.9,32.7,10.5,30.9,21.4,21.3,6.52,8.0,Rumored,Geographic Expansion|Platform Build|High Growth|Margin Improvement|Diversification,2,,Financial Sponsor,Private
MA-2015-0050,Premier Mental Health,Headway,Behavioral Health,Behavioral Health,2015,Q4,Merger of Equals,Northeast,Seller Financing,44.5,23.5,3.5,17.1,23.6,11.2,1.89,18.9,Withdrawn,Geographic Expansion|High Growth|Diversification,2,,Strategic,Non-Profit
MA-2021-0051,Superior Imaging Systems,Edwards Lifesciences,Medical Devices,Medical Devices,2021,Q2,Bolt-on Acquisition,Northeast,Stock,779.1,145.4,39.5,21.3,10.5,22.6,5.36,5.3,Closed,Scale|Geographic Expansion|Platform Build|Margin Improvement|Market Share,3,257.0,Strategic,Private
MA-2018-0052,Bridge Device Solutions,Vista Equity,Medical Devices,Medical Devices,2018,Q4,Merger of Equals,Mid-Atlantic,Mixed,4321.4,741.2,209.8,29.7,7.1,21.8,5.83,21.5,Closed,Scale|Geographic Expansion|Margin Improvement|Diversification,5,232.0,Financial Sponsor,Private
MA-2019-0053,Summit Counseling,Welsh Carson,Behavioral Health,Behavioral Health,2019,Q3,Bolt-on Acquisition,Southwest,Leveraged,16.2,5.8,0.6,17.2,17.4,11.3,2.8,13.8,Closed,Geographic Expansion|Platform Build|High Growth|Cost Synergies,1,370.0,Financial Sponsor,Non-Profit
MA-2016-0054,Horizon Personal Care,AccentCare,Home Health/Hospice,Home Health/Hospice,2016,Q2,Recapitalization,Great Plains,Stock,27.7,17.2,1.9,10.2,17.2,17.5,1.61,7.9,Closed,Geographic Expansion|High Growth|Cost Synergies,3,380.0,Strategic,Private
MA-2022-0055,Taft Personal Care,VNS Health,Home Health/Hospice,Home Health/Hospice,2022,Q1,Minority Investment,National,Earnout,17.3,9.2,1.4,7.2,5.8,12.3,1.89,5.2,Closed,Diversification,1,384.0,Strategic,Private
MA-2022-0056,Meridian Medical Associates,Hellman & Friedman,Physician Groups,Physician Groups,2022,Q2,SPAC Merger,Southwest,Mixed,27.2,12.0,1.1,16.0,6.2,15.9,2.27,4.6,Withdrawn,Geographic Expansion|Cross-sell,2,,Financial Sponsor,Non-Profit
MA-2019-0057,Bridge Pharma,Regeneron,Pharma/Biotech,Pharma/Biotech,2019,Q2,SPAC Merger,Mid-Atlantic,All Cash,4753.2,577.5,146.1,29.3,18.1,22.0,8.23,2.4,Closed,Scale|Geographic Expansion|High Growth|Margin Improvement|Cross-sell,4,274.0,Strategic,Non-Profit
MA-2023-0058,Professional Dental Solutions,Dental Care Alliance,Dental,Dental,2023,Q3,Leveraged Buyout,Northeast,All Cash,63.6,21.7,4.2,13.1,10.4,12.0,2.93,8.8,Rumored,Geographic Expansion|Diversification,1,,Strategic,Private
MA-2019-0059,Superior Dental Care,Pacific Dental Services,Dental,Dental,2019,Q3,Leveraged Buyout,National,Seller Financing,16.8,5.9,1.1,18.5,5.7,15.6,2.87,8.3,Closed,Vertical Integration,2,265.0,Strategic,Public
MA-2021-0060,Midland Imaging Systems,Nordic Capital,Medical Devices,Medical Devices,2021,Q3,Platform Investment,Great Plains,All Cash,305.3,72.9,17.7,27.4,11.5,18.7,4.19,2.7,Closed,Geographic Expansion|Platform Build|Margin Improvement|Market Share,2,329.0,Financial Sponsor,Private
MA-2019-0061,Silver Clinics,New Mountain Capital,Physician Groups,Physician Groups,2019,Q1,Merger of Equals,Multi-Regional,Stock,149.9,61.2,10.0,13.6,7.2,10.7,2.45,16.1,Closed,Geographic Expansion|Cost Synergies,1,224.0,Financial Sponsor,Non-Profit
MA-2022-0062,Liberty RCM,Advent International,Revenue Cycle,Revenue Cycle,2022,Q1,SPAC Merger,West Coast,All Cash,53.8,13.9,3.0,19.4,11.6,15.0,3.86,7.6,Closed,Geographic Expansion|Cross-sell,2,118.0,Financial Sponsor,PE-Backed
MA-2019-0063,Titan Addiction Treatment,Vista Equity,Behavioral Health,Behavioral Health,2019,Q3,Platform Investment,Mid-Atlantic,Stock,119.1,42.7,4.4,8.8,17.5,8.3,2.79,8.2,Closed,Geographic Expansion|Platform Build|High Growth|Cross-sell,2,125.0,Financial Sponsor,Non-Profit
MA-2018-0064,Sterling Physician Group,Bain Capital,Physician Groups,Physician Groups,2018,Q1,Minority Investment,Mountain West,All Cash,47.4,24.8,2.8,13.7,11.3,10.8,1.91,7.4,Closed,Geographic Expansion|Cross-sell,2,247.0,Financial Sponsor,PE-Backed
MA-2016-0065,Apex Medical Group,Atrium Health,Healthcare Services,Healthcare Services,2016,Q4,Recapitalization,Midwest,Cash + Stock,1919.9,633.6,81.7,18.3,10.5,17.9,3.03,7.6,Closed,Scale|Geographic Expansion|Market Share,1,248.0,Strategic,Non-Profit
MA-2021-0066,Oak Health,General Atlantic,Healthcare Services,Healthcare Services,2021,Q4,Merger of Equals,Southeast,Leveraged,1708.5,644.7,101.2,16.2,15.0,18.8,2.65,12.5,Closed,Scale|Geographic Expansion|Market Share,1,268.0,Financial Sponsor,Non-Profit
MA-2019-0067,Gateway Health Analytics,New Mountain Capital,Health IT,Health IT,2019,Q2,Bolt-on Acquisition,National,Earnout,120.5,21.4,4.6,21.5,26.6,20.6,5.62,10.1,Closed,Technology Capability|Platform Build|High Growth|Margin Improvement|Cost Synergies,2,97.0,Financial Sponsor,Private
MA-2021-0068,Eagle Managed Care,General Atlantic,Health Insurance,Health Insurance,2021,Q4,SPAC Merger,Multi-Regional,Leveraged,195.4,434.2,45.6,10.9,11.6,17.8,0.45,9.1,Closed,Geographic Expansion|Market Share,3,122.0,Financial Sponsor,Public
MA-2020-0069,Platinum Care Analytics,Ciox Health,Health IT,Health IT,2020,Q1,Strategic Acquisition,Mid-Atlantic,Mixed,355.9,62.4,11.7,18.9,27.7,22.3,5.7,17.0,Closed,Technology Capability|Geographic Expansion|High Growth|Vertical Integration,5,241.0,Strategic,Public
MA-2020-0070,Select Medical Associates,Welsh Carson,Physician Groups,Physician Groups,2020,Q1,Leveraged Buyout,Southeast,Mixed,504.2,466.9,61.2,12.0,14.7,14.1,1.08,4.7,Withdrawn,Scale|Geographic Expansion|Cost Synergies,1,,Financial Sponsor,Private
MA-2022-0071,Pacific PACE,Veritas Capital,Home Health/Hospice,Home Health/Hospice,2022,Q1,Minority Investment,Southeast,Stock,217.1,76.4,7.6,13.2,7.3,12.3,2.84,7.4,Closed,Geographic Expansion|Vertical Integration,2,215.0,Financial Sponsor,Private
MA-2021-0072,Western Medical Practice,Advent International,Physician Groups,Physician Groups,2021,Q1,Merger of Equals,National,Leveraged,29.5,14.0,1.5,14.0,5.9,15.7,2.1,12.6,Closed,Vertical Integration,1,375.0,Financial Sponsor,PE-Backed
MA-2020-0073,Professional Behavioral Services,Acadia Healthcare,Behavioral Health,Behavioral Health,2020,Q2,Platform Investment,Midwest,All Cash,41.3,23.9,4.2,13.4,16.6,9.6,1.73,8.3,Closed,Geographic Expansion|Platform Build|High Growth|Vertical Integration,1,383.0,Strategic,Private
MA-2017-0074,Bridge Multispecialty Group,Warburg Pincus,Physician Groups,Physician Groups,2017,Q4,Strategic Acquisition,Mountain West,Stock,11.4,5.1,0.8,9.8,10.7,14.5,2.24,11.3,Closed,Geographic Expansion|Diversification,2,318.0,Financial Sponsor,Private
MA-2022-0075,Platinum Benefits,Blackstone,Health Insurance,Health Insurance,2022,Q4,Platform Investment,Southwest,Mixed,1953.8,1655.8,144.1,5.8,2.8,18.1,1.18,9.0,Closed,Scale|Geographic Expansion|Platform Build|Market Share,5,97.0,Financial Sponsor,PE-Backed
MA-2019-0076,Beacon Claims Management,Waystar,Revenue Cycle,Revenue Cycle,2019,Q2,Leveraged Buyout,Mid-Atlantic,All Cash,301.5,62.7,11.0,19.9,12.6,15.5,4.81,5.2,Closed,Geographic Expansion|Cross-sell,3,159.0,Strategic,Private
MA-2017-0077,Cascade DSO,Smile Brands,Dental,Dental,2017,Q4,Leveraged Buyout,Multi-Regional,All Cash,17.6,5.2,1.0,13.5,7.2,12.6,3.36,2.2,Pending,Geographic Expansion|Vertical Integration,5,,Strategic,Public
MA-2016-0078,Green Clinical Systems,Ciox Health,Health IT,Health IT,2016,Q4,SPAC Merger,National,All Cash,24.4,3.9,0.9,20.9,23.8,19.1,6.28,6.6,Closed,Technology Capability|High Growth|Margin Improvement|Cross-sell,3,168.0,Strategic,PE-Backed
MA-2024-0079,Crown Mental Health,Veritas Capital,Behavioral Health,Behavioral Health,2024,Q1,Recapitalization,Great Plains,All Cash,452.8,192.7,25.2,8.2,12.8,8.6,2.35,9.8,Closed,Geographic Expansion|Cross-sell,3,168.0,Financial Sponsor,PE-Backed
MA-2022-0080,Standard Revenue Cycle,Blackstone,Health IT,Health IT,2022,Q4,Leveraged Buyout,Midwest,Mixed,25.5,4.5,1.1,18.4,27.2,20.2,5.68,7.7,Closed,Technology Capability|Geographic Expansion|High Growth|Cost Synergies,1,147.0,Financial Sponsor,Private
MA-2017-0081,Hudson Orthodontics,Warburg Pincus,Dental,Dental,2017,Q3,Strategic Acquisition,Mid-Atlantic,Stock,573.9,259.7,50.6,19.4,17.3,16.9,2.21,13.2,Closed,Scale|Geographic Expansion|High Growth|Diversification,3,140.0,Financial Sponsor,Public
MA-2022-0082,Liberty PACE,VNS Health,Home Health/Hospice,Home Health/Hospice,2022,Q3,Minority Investment,Southeast,All Cash,502.1,432.8,51.9,13.2,9.7,17.5,1.16,4.4,Closed,Scale|Geographic Expansion|Cost Synergies,4,224.0,Strategic,Public
MA-2021-0083,Jefferson Ambulatory Care,Welsh Carson,Healthcare Services,Healthcare Services,2021,Q3,Management Buyout,Midwest,All Cash,75.3,22.1,2.4,10.3,14.7,17.8,3.4,6.9,Closed,Geographic Expansion|Cross-sell,2,375.0,Financial Sponsor,Private
MA-2022-0084,Madison Dental Solutions,Heartland Dental,Dental,Dental,2022,Q2,Management Buyout,Mid-Atlantic,Leveraged,119.1,33.1,5.2,12.3,18.4,16.1,3.6,4.2,Closed,Geographic Expansion|High Growth|Cost Synergies,4,310.0,Strategic,Public
MA-2017-0085,Golden Reimbursement,Ensemble Health Partners,Revenue Cycle,Revenue Cycle,2017,Q1,Leveraged Buyout,Midwest,Earnout,691.0,143.1,29.9,24.5,17.2,17.6,4.83,2.7,Closed,Scale|Geographic Expansion|High Growth|Margin Improvement|Market Share,3,408.0,Strategic,Private
MA-2022-0086,Reliable Claims Management,AdvancedMD,Revenue Cycle,Revenue Cycle,2022,Q2,Bolt-on Acquisition,Southwest,Mixed,412.7,85.1,19.1,21.5,7.4,19.4,4.85,12.9,Closed,Geographic Expansion|Platform Build|Margin Improvement|Market Share,4,327.0,Strategic,Private
MA-2019-0087,Legacy Physician Group,Bain Capital,Physician Groups,Physician Groups,2019,Q1,Platform Investment,Mid-Atlantic,Earnout,37.7,22.7,2.5,8.3,11.8,13.5,1.66,5.7,Closed,Geographic Expansion|Platform Build|Vertical Integration,2,111.0,Financial Sponsor,Public
MA-2019-0088,Granite RCM,Veritas Capital,Revenue Cycle,Revenue Cycle,2019,Q3,Bolt-on Acquisition,West Coast,Cash + Stock,34.5,9.5,2.2,19.0,8.9,14.5,3.65,10.5,Closed,Geographic Expansion|Platform Build|Vertical Integration,1,302.0,Financial Sponsor,PE-Backed
MA-2023-0089,Star Bio,Bristol-Myers Squibb,Pharma/Biotech,Pharma/Biotech,2023,Q1,Strategic Acquisition,Southeast,All Cash,132.8,16.0,4.4,26.1,11.0,24.6,8.3,18.8,Pending,Geographic Expansion|Margin Improvement|Vertical Integration,3,,Strategic,PE-Backed
MA-2019-0090,Principal Behavioral Health,UPMC,Healthcare Services,Healthcare Services,2019,Q4,Bolt-on Acquisition,Northeast,Cash + Stock,443.7,223.0,40.4,16.1,6.1,11.7,1.99,9.8,Closed,Geographic Expansion|Platform Build|Market Share,3,420.0,Strategic,Non-Profit
MA-2018-0091,Metro Dental Care,Advent International,Dental,Dental,2018,Q2,Platform Investment,Southeast,All Cash,45.6,19.5,3.3,14.5,13.2,15.1,2.34,5.1,Closed,Geographic Expansion|Platform Build|Cost Synergies,3,340.0,Financial Sponsor,PE-Backed
MA-2016-0092,Delta Dental Care,New Mountain Capital,Dental,Dental,2016,Q4,Management Buyout,Great Plains,Cash + Stock,590.2,170.6,29.0,16.9,4.8,16.2,3.46,4.8,Closed,Scale|Geographic Expansion|Diversification,2,319.0,Financial Sponsor,Private
MA-2020-0093,Oak Health Informatics,Aledade,Health IT,Health IT,2020,Q2,Minority Investment,National,Stock,270.7,47.2,10.4,20.8,24.5,23.9,5.73,6.0,Closed,Technology Capability|High Growth|Margin Improvement|Vertical Integration,1,110.0,Strategic,Private
MA-2020-0094,Liberty Behavioral Services,Welsh Carson,Behavioral Health,Behavioral Health,2020,Q1,Strategic Acquisition,Midwest,Earnout,393.8,231.6,30.3,14.1,15.9,14.8,1.7,14.6,Closed,Geographic Expansion|High Growth|Vertical Integration,2,212.0,Financial Sponsor,PE-Backed
